region,province,deo,cong_district,road_class,road_name,road_length
Bangsamoro Autonomous Region in Muslim Mindanao,Basilan,Basilan District Engineering Office,BASILAN (LONE DISTRICT),Secondary,Basilan Circumferential Rd,38016.0
Bangsamoro Autonomous Region in Muslim Mindanao,Basilan,Basilan District Engineering Office,BASILAN (LONE DISTRICT),Secondary,Basilan Circumferential Rd,34987.0
Bangsamoro Autonomous Region in Muslim Mindanao,Basilan,Basilan District Engineering Office,BASILAN (LONE DISTRICT),Secondary,Basilan Circumferential Rd,21.0
Bangsamoro Autonomous Region in Muslim Mindanao,Basilan,Basilan District Engineering Office,BASILAN (LONE DISTRICT),Secondary,Basilan Circumferential Rd (Isabela-Lamitan Rd),17470.0
Bangsamoro Autonomous Region in Muslim Mindanao,Basilan,Basilan District Engineering Office,BASILAN (LONE DISTRICT),Secondary,Basilan Circumferential Rd (Maluso-Isabela Rd),14621.0
Bangsamoro Autonomous Region in Muslim Mindanao,Basilan,Basilan District Engineering Office,BASILAN (LONE DISTRICT),Secondary,Lamitan Wharf Rd,3523.0
Bangsamoro Autonomous Region in Muslim Mindanao,Basilan,Basilan District Engineering Office,BASILAN (LONE DISTRICT),Secondary,Maluso-Wharf Rd,1666.0
Bangsamoro Autonomous Region in Muslim Mindanao,Basilan,Basilan District Engineering Office,BASILAN (LONE DISTRICT),Tertiary,Lamitan-Tuburan Rd via Campo Uno,18100.0
Bangsamoro Autonomous Region in Muslim Mindanao,Basilan,Basilan District Engineering Office,BASILAN (LONE DISTRICT),Tertiary,Lamitan-Tuburan Rd via Campo Uno,1014.0
Bangsamoro Autonomous Region in Muslim Mindanao,Lanao del Sur,Lanao del Sur 1st District Engineering Office,LANAO DEL SUR (FIRST DISTRICT),Primary,Bito-Marawi Rd,4068.0
Bangsamoro Autonomous Region in Muslim Mindanao,Lanao del Sur,Lanao del Sur 1st District Engineering Office,LANAO DEL SUR (FIRST DISTRICT),Primary,Iligan City-Marawi City Rd,4200.0
Bangsamoro Autonomous Region in Muslim Mindanao,Lanao del Sur,Lanao del Sur 1st District Engineering Office,LANAO DEL SUR (FIRST DISTRICT),Primary,Marawi-Bacung  Nat'l Rd,3340.0
Bangsamoro Autonomous Region in Muslim Mindanao,Lanao del Sur,Lanao del Sur 1st District Engineering Office,LANAO DEL SUR (FIRST DISTRICT),Primary,Marawi-Malabang Rd,9512.0
Bangsamoro Autonomous Region in Muslim Mindanao,Lanao del Sur,Lanao del Sur 1st District Engineering Office,LANAO DEL SUR (FIRST DISTRICT),Secondary,Bumbaran-Talakag Rd,6165.0
Bangsamoro Autonomous Region in Muslim Mindanao,Lanao del Sur,Lanao del Sur 1st District Engineering Office,LANAO DEL SUR (FIRST DISTRICT),Secondary,Gov. Mamintal M. Adiong Sr. National Rd,7487.0
