region,road_class,xpres_way,xpres_name,road_length
NCR,Elevated Expressway,NLEX Harbor Link (Segment 10),NLEX-Harbor Link (NB),3414.1246819265248
NCR,Elevated Expressway,NLEX Harbor Link (Segment 10),NLEX-Harbor Link (NB),4726.361581500281
NCR,Elevated Expressway,NLEX Harbor Link (Segment 10),NLEX-Harbor Link (NB),942.6826776172434
NCR,Elevated Expressway,NLEX Harbor Link (Segment 10),NLEX-Harbor Link (SB),3418.585819892469
NCR,Elevated Expressway,NLEX Harbor Link (Segment 10),NLEX-Harbor Link (SB),4751.7127610950865
NCR,Elevated Expressway,NLEX Harbor Link (Segment 10),NLEX-Harbor Link (SB),863.9844106109732
NCR,Expressway,C5 South Link Expressway (EB),CAVITEX-C-5 South Link Expressway (EB),3679.4264433100107
NCR,Expressway,C5 South Link Expressway (EB),CAVITEX-C-5 South Link Expressway (EB),269.6253062819573
NCR,Expressway,C5 South Link Expressway (WB),CAVITEX-C-5 South Link Expressway (EB),4287.007431304463
NCR,Expressway,C5 South Link Expressway (WB),CAVITEX-C-5 South Link Expressway (WB),7629.9387292330475
NCR,Expressway,CAVITEX,CAVITEX-Parañaque (NB),5460.1303757548285
NCR,Expressway,CAVITEX,CAVITEX-Parañaque (NB),186.1549379394176
NCR,Expressway,CAVITEX,CAVITEX-Parañaque (SB),5445.8111196879645
NCR,Expressway,MCEX,Muntinlupa-Cavite-Expressway (WB),786.8848591941863
NCR,Expressway,MCX,Muntinlupa-Cavite-Expressway (EB),2980.586591928591
NCR,Expressway,MCX,Muntinlupa-Cavite-Expressway (NB),472.5334157881347
NCR,Expressway,MCX,Muntinlupa-Cavite-Expressway (SB),514.3604155422322
NCR,Expressway,MCX,Muntinlupa-Cavite-Expressway (SB),293.78969573921773
NCR,Expressway,MCX,Muntinlupa-Cavite-Expressway (SB),475.7426901771019
NCR,Expressway,MCX,Muntinlupa-Cavite-Expressway (WB),2997.4392711631244
NCR,Expressway,NAIAX,NAIA  Expressway (EB),5363.241939996029
NCR,Expressway,NAIAX,NAIA Expressway (EB),531.8515505865338
NCR,Expressway,NAIAX,NAIA Expressway (EB),378.55078901197976
NCR,Expressway,NAIAX,NAIA Expressway (EB),547.5873699247772
NCR,Expressway,NAIAX,NAIA Expressway (NB) Ph-1,805.4373570297702
NCR,Expressway,NAIAX,NAIA Expressway (SB) Ph-1,384.3485074043084
NCR,Expressway,NAIAX,NAIA Expressway (SE),419.6651854818289
NCR,Expressway,NAIAX,NAIA Expressway (WB),1419.934013024736
NCR,Expressway,NAIAX,NAIA Expressway (WB),346.7708511077787
NCR,Expressway,NAIAX,NAIA Expressway (WB),5346.882314345028
NCR,Expressway,NAIAX,NAIA Expressway (WB) Ph-1,495.7925008522826
NCR,Expressway,NAIAX,NAIA Expressway (WB) Ph-1,390.9467871717862
NCR,Expressway,NAIAX,NAIA Expressway (WB) Ph-1,237.39929846050538
NCR,Expressway,NAIAX,NAIA Expressway (WB) Ph-1,206.79594430585996
NCR,Expressway,NAIAX,NAIA Expressway (WB) Ph-1,687.9342893552052
NCR,Expressway,NAIAX,NAIA Expressway (WB) Ph-1,438.96177566777095
NCR,Expressway,NAIAX,NAIA Expressway (WB) Ph-1,378.3411069686359
NCR,Expressway,NAIAX,NAIA Terminal 1Rd,1047.2893414096882
NCR,Expressway,NAIAX,NAIA Terminal 2 Rd,400.94621553764716
NCR,Expressway,NAIAX,NAIA Terminal 3 Rd,478.09419614859314
NCR,Expressway,NLEX,Noth Luzon Expressway (NB),498.396077351438
NCR,Expressway,NLEX,Noth Luzon Expressway (NB),634.4590248075936
NCR,Expressway,NLEX,Noth Luzon Expressway (NB),423.9820669963513
NCR,Expressway,NLEX,Noth Luzon Expressway (NB),8561.26110203193
NCR,Expressway,NLEX,Noth Luzon Expressway (SB),459.3055341405585
NCR,Expressway,NLEX Harbor Link (Segment 8.1),NLEX-Mindanao Ave Link (EB),2398.741401117186
NCR,Expressway,NLEX Harbor Link (Segment 8.1),NLEX-Mindanao Ave Link (EB),565.1315320874886
NCR,Expressway,NLEX Harbor Link (Segment 8.1),NLEX-Mindanao Ave Link (EB),522.6907232548483
NCR,Expressway,NLEX Harbor Link (Segment 8.1),NLEX-Mindanao Ave Link (EB),321.1126101687811
NCR,Expressway,NLEX Harbor Link (Segment 8.1),NLEX-Mindanao Ave Link (EB),273.41343264285626
NCR,Expressway,NLEX Harbor Link (Segment 8.1),NLEX-Mindanao Ave Link (EB),270.2606092771609
NCR,Expressway,NLEX Harbor Link (Segment 8.1),NLEX-Mindanao Ave Link (EB),2388.506006573817
NCR,Expressway,NLEX Harbor Link (Segment 8.1),NLEX-Mindanao Ave Link (EB),529.9902776657073
NCR,Expressway,NLEX Harbor Link (Segment 8.1),NLEX-Mindanao Ave Link (EB),594.3301331876477
NCR,Expressway,NLEX Harbor Link (Segment 8.1),NLEX-Mindanao Ave Link (NB),298.59639543911953
NCR,Expressway,NLEX Harbor Link (Segment 9),NLEX-McArthur Highway Link (EB),3143.9438899541783
NCR,Expressway,NLEX Harbor Link (Segment 9),NLEX-McArthur Highway Link (EB),1300.365424172876
NCR,Expressway,NLEX Harbor Link (Segment 9),NLEX-McArthur Highway Link (SB),733.4960231560669
NCR,Expressway,NLEX Harbor Link (Segment 9),NLEX-McArthur Highway Link (WB),3161.2553192347777
NCR,Expressway,NLEX Harbor Link (Segment 9),NLEX-McArthur Highway Link (WB),634.4542084697738
NCR,Expressway,NLEX Harbor Link (Segment 9),NLEX-McArthur Highway Link (WB),299.5861629581233
NCR,Expressway,NLEX Harbor Link (Segment 9),NLEX-McArthur Highway Link (WB),226.33271105880073
NCR,Expressway,NLEX Harbor Link (Segment 9),NLEX-McArthur Highway Link (WB),191.9928776960726
NCR,Expressway,NLEX Harbor Link (Segment 9),NLEX-McArthur Highway Link (WB),100.81399218060545
NCR,Expressway,NLEX Harbor Link (Segment 9),NLEX-McArthur Highway Link (WB),122.66920143609747
NCR,Expressway,NLEX Harbor Link (Segment 9),NLEX-McArthur Highway Link (WB),1687.9562332483458
NCR,Expressway,North Luzon Expressway,Noth Luzon Expressway (NB),8567.274961640878
NCR,Expressway,SLEX,South Luzon Expressway (NB),2631.1636255805092
NCR,Expressway,SLEX,South Luzon Expressway (NB),427.89312333945963
NCR,Expressway,SLEX,South Luzon Expressway (NB),337.6583383132303
NCR,Expressway,SLEX,South Luzon Expressway (NB),1105.6006901711921
NCR,Expressway,SLEX,South Luzon Expressway (NB),17466.73748098758
NCR,Expressway,SLEX,South Luzon Expressway (NB),860.5214342902938
NCR,Expressway,SLEX,South Luzon Expressway (NB),499.2190391863927
NCR,Expressway,SLEX,South Luzon Expressway (NB),574.2869827728181
NCR,Expressway,SLEX,South Luzon Expressway (NB),808.7851159780631
NCR,Expressway,SLEX,South Luzon Expressway (NB),721.8732012138577
NCR,Expressway,SLEX,South Luzon Expressway (NB),417.4708463233752
NCR,Expressway,SLEX,South Luzon Expressway (SB),1250.429843920369
NCR,Expressway,SLEX,South Luzon Expressway (SB),19397.19412175715
NCR,Expressway,SLEX,South Luzon Expressway (SB),586.2737421591219
NCR,Expressway,SLEX,South Luzon Expressway (SB),436.95409506122206
NCR,Expressway,SLEX,South Luzon Expressway (SB),525.8419505914471
NCR,Expressway,SLEX,South Luzon Expressway (WB),1027.8026152464947
NCR,Expressway,SLEX,South Metro Manila Skyway (SB) Extension,463.1698760676705
NCR,Skyway,MMS-Stage 3,Metro Manila Skyway (NB),15888.926806415846
NCR,Skyway,MMS-Stage 3,Metro Manila Skyway (NB),479.6451228834905
NCR,Skyway,MMS-Stage 3,Metro Manila Skyway (NB),238.94937709684012
NCR,Skyway,MMS-Stage 3,Metro Manila Skyway (NB),807.6293594775824
NCR,Skyway,MMS-Stage 3,Metro Manila Skyway (SB),15262.110068949214
NCR,Skyway,MMS-Stage 3,Metro Manila Skyway (SB),2138.597024414277
NCR,Skyway,MMS-Stage 3,Metro Manila Skyway (SB),711.5247328648187
NCR,Skyway,MMS-Stage 3,Metro Manila Skyway (SB),723.0976383927805
NCR,Skyway,MMS-Stage 3,Metro Manila Skyway (SB),177.5942394450845
NCR,Skyway,MMS-Stage 3,Metro Manila Skyway (SB),431.57069306746587
NCR,Skyway,NLEX-SLEX Connector,NLEX-SLEX Connector (NB),8788.053349121697
NCR,Skyway,NLEX-SLEX Connector,NLEX-SLEX Connector (NB),1162.771934620996
NCR,Skyway,NLEX-SLEX Connector,NLEX-SLEX Connector (SB),8763.38459494399
NCR,Skyway,SLEX,South Metro Manila Skyway (NB) Extension,4563.394220536973
NCR,Skyway,SLEX,South Metro Manila Skyway (SB) Extension,4512.851091697811
NCR,Skyway,SMMS,South Metro Manila Skyway (NB),16607.633414300493
NCR,Skyway,SMMS,South Metro Manila Skyway (NB),1067.3580051862386
NCR,Skyway,SMMS,South Metro Manila Skyway (NB),1413.7296138199997
NCR,Skyway,SMMS,South Metro Manila Skyway (NB),867.855680431045
NCR,Skyway,SMMS,South Metro Manila Skyway (SB),16299.330694660115
NCR,Skyway,SMMS,South Metro Manila Skyway (SB),837.189731108094
NCR,Skyway,SMMS,South Metro Manila Skyway (SB),931.5561961874639
NCR,Skyway,SMMS,South Metro Manila Skyway (SB),769.3736587153719
