region,province,deo,cong_district,road_class,road_name,road_length
National Capital Region,Metro Manila,Las Piñas-Muntinlupa District Engineering Office,CITY OF LAS PIÑAS (LONE DISTRICT),Primary,Quirino Avenue,3298.0
National Capital Region,Metro Manila,Las Piñas-Muntinlupa District Engineering Office,CITY OF LAS PIÑAS (LONE DISTRICT),Secondary,Zapote-Alabang Flyover,451.0
National Capital Region,Metro Manila,Las Piñas-Muntinlupa District Engineering Office,CITY OF LAS PIÑAS (LONE DISTRICT),Secondary,Zapote-Alabang Rd,7580.0
National Capital Region,Metro Manila,Las Piñas-Muntinlupa District Engineering Office,CITY OF LAS PIÑAS (LONE DISTRICT),Tertiary,International Receiver Rd,2114.0
National Capital Region,Metro Manila,Las Piñas-Muntinlupa District Engineering Office,CITY OF LAS PIÑAS (LONE DISTRICT),Tertiary,Marcos Alvarez  Rd,3378.0
National Capital Region,Metro Manila,Las Piñas-Muntinlupa District Engineering Office,CITY OF LAS PIÑAS (LONE DISTRICT),Tertiary,Zapote-Alabang Rd,251.0
National Capital Region,Metro Manila,Las Piñas-Muntinlupa District Engineering Office,CITY OF LAS PIÑAS (LONE DISTRICT),Tertiary,Zapote-Alabang Rd,467.0
National Capital Region,Metro Manila,Las Piñas-Muntinlupa District Engineering Office,CITY OF MUNTINLUPA (LONE DISTRICT),Primary,Maharlika Highway (LZ),5810.0
National Capital Region,Metro Manila,Las Piñas-Muntinlupa District Engineering Office,CITY OF MUNTINLUPA (LONE DISTRICT),Primary,Paranaque-Sucat Rd,198.0
National Capital Region,Metro Manila,Las Piñas-Muntinlupa District Engineering Office,CITY OF MUNTINLUPA (LONE DISTRICT),Secondary,PPTA Rd,5880.0
National Capital Region,Metro Manila,Las Piñas-Muntinlupa District Engineering Office,CITY OF MUNTINLUPA (LONE DISTRICT),Secondary,PPTA Rd,500.0
National Capital Region,Metro Manila,Las Piñas-Muntinlupa District Engineering Office,CITY OF MUNTINLUPA (LONE DISTRICT),Secondary,Paranaque-Sucat Rd,880.0
National Capital Region,Metro Manila,Las Piñas-Muntinlupa District Engineering Office,CITY OF MUNTINLUPA (LONE DISTRICT),Secondary,Zapote-Alabang Rd,2691.0
National Capital Region,Metro Manila,Las Piñas-Muntinlupa District Engineering Office,CITY OF MUNTINLUPA (LONE DISTRICT),Secondary,Zapote-Alabang Y-Length,258.0
National Capital Region,Metro Manila,Las Piñas-Muntinlupa District Engineering Office,CITY OF MUNTINLUPA (LONE DISTRICT),Tertiary,Alabang-Muntinlupa Rd,3169.0
National Capital Region,Metro Manila,Las Piñas-Muntinlupa District Engineering Office,CITY OF MUNTINLUPA (LONE DISTRICT),Tertiary,Daang Maharlika (LZ),233.0
National Capital Region,Metro Manila,Las Piñas-Muntinlupa District Engineering Office,CITY OF MUNTINLUPA (LONE DISTRICT),Tertiary,Daang Maharlika (LZ),245.0
National Capital Region,Metro Manila,Las Piñas-Muntinlupa District Engineering Office,CITY OF MUNTINLUPA (LONE DISTRICT),Tertiary,Daang Maharlika (LZ),142.0
National Capital Region,Metro Manila,Las Piñas-Muntinlupa District Engineering Office,CITY OF MUNTINLUPA (LONE DISTRICT),Tertiary,Muntinlupa-Insular Prison Rd,85.0
National Capital Region,Metro Manila,Las Piñas-Muntinlupa District Engineering Office,CITY OF MUNTINLUPA (LONE DISTRICT),Tertiary,Muntinlupa-Insular Prison Rd,204.0
National Capital Region,Metro Manila,Las Piñas-Muntinlupa District Engineering Office,CITY OF MUNTINLUPA (LONE DISTRICT),Tertiary,Muntinlupa-Insular Prison Rd,3486.0
National Capital Region,Metro Manila,Las Piñas-Muntinlupa District Engineering Office,CITY OF MUNTINLUPA (LONE DISTRICT),Tertiary,Muntinlupa-Railroad Station Rd,1457.0
National Capital Region,Metro Manila,Las Piñas-Muntinlupa District Engineering Office,CITY OF MUNTINLUPA (LONE DISTRICT),Tertiary,Paranaque-Sucat Rd,152.0
National Capital Region,Metro Manila,Las Piñas-Muntinlupa District Engineering Office,CITY OF MUNTINLUPA (LONE DISTRICT),Tertiary,South Super H-way East Service Rd,4604.0
National Capital Region,Metro Manila,Las Piñas-Muntinlupa District Engineering Office,CITY OF MUNTINLUPA (LONE DISTRICT),Tertiary,South Super H-way West Service Rd,3665.0
National Capital Region,Metro Manila,Malabon-Navotas District Engineering Office,MALABON CITY (LONE DISTRICT),Primary,MacArthur H-way,1041.0
National Capital Region,Metro Manila,Malabon-Navotas District Engineering Office,MALABON CITY (LONE DISTRICT),Primary,MacArthur H-way,1179.0
National Capital Region,Metro Manila,Malabon-Navotas District Engineering Office,MALABON CITY (LONE DISTRICT),Secondary,C-4 Road,2118.0
National Capital Region,Metro Manila,Malabon-Navotas District Engineering Office,MALABON CITY (LONE DISTRICT),Secondary,C-4 Road,1016.0
National Capital Region,Metro Manila,Malabon-Navotas District Engineering Office,MALABON CITY (LONE DISTRICT),Tertiary,Adante Rd,558.0
National Capital Region,Metro Manila,Malabon-Navotas District Engineering Office,MALABON CITY (LONE DISTRICT),Tertiary,Bonifacio St,260.0
National Capital Region,Metro Manila,Malabon-Navotas District Engineering Office,MALABON CITY (LONE DISTRICT),Tertiary,Bonifacio-Sisa Rd,84.0
National Capital Region,Metro Manila,Malabon-Navotas District Engineering Office,MALABON CITY (LONE DISTRICT),Tertiary,Bonifacio-Sisa Rd,830.0
National Capital Region,Metro Manila,Malabon-Navotas District Engineering Office,MALABON CITY (LONE DISTRICT),Tertiary,C Arellano St,1765.0
National Capital Region,Metro Manila,Malabon-Navotas District Engineering Office,MALABON CITY (LONE DISTRICT),Tertiary,Don Basilio Bautista St,213.0
National Capital Region,Metro Manila,Malabon-Navotas District Engineering Office,MALABON CITY (LONE DISTRICT),Tertiary,Don Basilio Bautista St,627.0
National Capital Region,Metro Manila,Malabon-Navotas District Engineering Office,MALABON CITY (LONE DISTRICT),Tertiary,Don Basilio Bautista St,693.0
National Capital Region,Metro Manila,Malabon-Navotas District Engineering Office,MALABON CITY (LONE DISTRICT),Tertiary,E Rodriguez St,344.0
National Capital Region,Metro Manila,Malabon-Navotas District Engineering Office,MALABON CITY (LONE DISTRICT),Tertiary,Estrella St,482.0
National Capital Region,Metro Manila,Malabon-Navotas District Engineering Office,MALABON CITY (LONE DISTRICT),Tertiary,Flores St,325.0
National Capital Region,Metro Manila,Malabon-Navotas District Engineering Office,MALABON CITY (LONE DISTRICT),Tertiary,Gen Luna St  (Malabon),2521.0
National Capital Region,Metro Manila,Malabon-Navotas District Engineering Office,MALABON CITY (LONE DISTRICT),Tertiary,Gov W Pascual Ave,155.0
National Capital Region,Metro Manila,Malabon-Navotas District Engineering Office,MALABON CITY (LONE DISTRICT),Tertiary,Gov W Pascual Ave,4400.0
National Capital Region,Metro Manila,Malabon-Navotas District Engineering Office,MALABON CITY (LONE DISTRICT),Tertiary,Jct Womens Club St,240.0
National Capital Region,Metro Manila,Malabon-Navotas District Engineering Office,MALABON CITY (LONE DISTRICT),Tertiary,Leoño St,570.0
National Capital Region,Metro Manila,Malabon-Navotas District Engineering Office,MALABON CITY (LONE DISTRICT),Tertiary,MH Del Pilar St (Malabon),4279.0
National Capital Region,Metro Manila,Malabon-Navotas District Engineering Office,MALABON CITY (LONE DISTRICT),Tertiary,Naval St,346.0
National Capital Region,Metro Manila,Malabon-Navotas District Engineering Office,MALABON CITY (LONE DISTRICT),Tertiary,P Aquino Rd (Letre),106.0
National Capital Region,Metro Manila,Malabon-Navotas District Engineering Office,MALABON CITY (LONE DISTRICT),Tertiary,P Aquino Rd (Letre),1536.0
National Capital Region,Metro Manila,Malabon-Navotas District Engineering Office,MALABON CITY (LONE DISTRICT),Tertiary,P Aquino Rd (Letre),113.0
National Capital Region,Metro Manila,Malabon-Navotas District Engineering Office,MALABON CITY (LONE DISTRICT),Tertiary,Prelaya St,363.0
National Capital Region,Metro Manila,Malabon-Navotas District Engineering Office,MALABON CITY (LONE DISTRICT),Tertiary,Prosperidad St,381.0
National Capital Region,Metro Manila,Malabon-Navotas District Engineering Office,MALABON CITY (LONE DISTRICT),Tertiary,Road to Tanza,269.0
National Capital Region,Metro Manila,Malabon-Navotas District Engineering Office,MALABON CITY (LONE DISTRICT),Tertiary,Sacristia St (Malabon Div Rd),192.0
National Capital Region,Metro Manila,Malabon-Navotas District Engineering Office,MALABON CITY (LONE DISTRICT),Tertiary,Sanciangco St,1701.0
National Capital Region,Metro Manila,Malabon-Navotas District Engineering Office,MALABON CITY (LONE DISTRICT),Tertiary,Sevilla Blvd,320.0
National Capital Region,Metro Manila,Malabon-Navotas District Engineering Office,NAVOTAS CITY (LONE DISTRICT),Secondary,C-3 Road,719.0
National Capital Region,Metro Manila,Malabon-Navotas District Engineering Office,NAVOTAS CITY (LONE DISTRICT),Secondary,C-3 Road,710.0
National Capital Region,Metro Manila,Malabon-Navotas District Engineering Office,NAVOTAS CITY (LONE DISTRICT),Secondary,R-10,2270.0
National Capital Region,Metro Manila,Malabon-Navotas District Engineering Office,NAVOTAS CITY (LONE DISTRICT),Secondary,R-10,1230.0
National Capital Region,Metro Manila,Malabon-Navotas District Engineering Office,NAVOTAS CITY (LONE DISTRICT),Secondary,R-10,495.0
National Capital Region,Metro Manila,Malabon-Navotas District Engineering Office,NAVOTAS CITY (LONE DISTRICT),Secondary,R-10,415.0
